Sample_ID,Extraction_date,DNA_conc_ng_uL,DNA_vol_uL,DNA_yield_ng,RNA_conc_ng_uL,RNA_vol_uL,RNA_yield_ng
092,11/30/20,21.6,48,1036.8,,48,0
093,11/30/20,29.5,48,1416,74.6,48,3580.8
094,11/30/20,12.9,48,619.2,121,48,5808
095,11/30/20,39.1,48,1876.8,138,48,6624
096,11/30/20,46.3,48,2222.4,93.4,48,4483.2
097,11/30/20,32.7,48,1569.6,146,48,7008
098,11/30/20,19.9,48,955.2,141,48,6768
099,11/30/20,39.6,48,1900.8,160,48,7680
100,11/30/20,29.8,48,1430.4,149,48,7152
101,11/30/20,40.3,48,1934.4,107,48,5136
102,11/30/20,49.8,48,2390.4,55.7,48,2673.6
103,11/30/20,21.4,48,1027.2,101,48,4848
104,11/30/20,30.9,48,1483.2,146,48,7008
105,11/30/20,27.5,48,1320,112,48,5376
106,11/30/20,35.6,48,1708.8,152,48,7296
107,11/30/20,34.2,48,1641.6,83.3,48,3998.4
108,11/30/20,19.7,48,945.6,62.4,48,2995.2
109,12/1/20,17.9,48,859.2,116,48,5568
110,12/1/20,15.2,48,729.6,155,48,7440
111,12/1/20,8.32,48,399.36,193,48,9264
112,12/1/20,23.8,48,1142.4,234,48,11232
113,12/1/20,22.2,48,1065.6,195,48,9360
114,12/1/20,12.8,48,614.4,181,48,8688
115,12/1/20,31.1,48,1492.8,183,48,8784
116,12/1/20,20.1,48,964.8,145,48,6960
117,12/1/20,12.7,48,609.6,68.5,48,3288
118,12/1/20,14.4,48,691.2,90.7,48,4353.6
119,12/1/20,18,48,864,134,48,6432
120,12/1/20,26.2,48,1257.6,155,48,7440
121,12/1/20,6.16,48,295.68,112,48,5376
122,12/1/20,7.15,48,343.2,192,48,9216
123,12/1/20,11.5,48,552,145,48,6960
124,12/1/20,18.6,48,892.8,199,48,9552
125,12/1/20,18.4,48,883.2,114,48,5472
126,12/1/20,5.83,48,279.84,148,48,7104
127,12/1/20,5.09,48,244.32,77.7,48,3729.6
128,12/1/20,12,48,576,175,48,8400
129,12/1/20,15.4,48,739.2,154,48,7392
130,12/1/20,13.2,48,633.6,191,48,9168
131,12/1/20,26,48,1248,178,48,8544
132,12/1/20,21.2,48,1017.6,173,48,8304
133,12/1/20,37,48,1776,207,48,9936
134,12/1/20,26.6,48,1276.8,145,48,6960
135,12/1/20,33.4,48,1603.2,191,48,9168
136,12/1/20,51.8,48,2486.4,160,48,7680
137,12/1/20,55.5,48,2664,128,48,6144
138,12/1/20,48.1,48,2308.8,155,48,7440
139,12/1/20,56.1,48,2692.8,229,48,10992
140,12/1/20,50.2,48,2409.6,174,48,8352
141,12/1/20,80.9,48,3883.2,164,48,7872
142,12/1/20,76.7,48,3681.6,176,48,8448
143,12/1/20,79.4,48,3811.2,81.6,48,3916.8
144,12/1/20,70.4,48,3379.2,130,48,6240
145,12/1/20,20.5,48,984,106,48,5088
146,12/1/20,32.7,48,1569.6,165,48,7920
147,12/1/20,19.4,48,931.2,90.2,48,4329.6
148,12/1/20,27.2,48,1305.6,118,48,5664
149,12/1/20,31.1,48,1492.8,157,48,7536
150,12/1/20,36.5,48,1752,135,48,6480
151,12/1/20,79.6,48,3820.8,127,48,6096
